No.,Quantity,Designator,Value,Manufacturer Part,Footprint,Comment,Secondary Category,Manufacturer,Supplier Part,Supplier,Primary Category
1,1,C1,47nF,CC0402KRX7R9BB473,C0402,47nF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,YAGEO(??),C272875,LCSC,Capacitors
2,1,C2,1uF,CL05A105KQ5NNNC,C0402,1uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,SAMSUNG(??),C107372,LCSC,Capacitors
3,14,"C3,C11,C12,C18,C30,C33,C34,C35,C37,C38,C47,C48,C50,C51",100nF,CC0603KRX7R9BB104,C0603,100nF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,YAGEO(??),C14663,LCSC,Capacitors
4,1,C4,22uF,KM226M050D11RR0VH2FP0,CAP-TH_BD5.0-P2.00-D0.8-FD,22uF,Aluminum Electrolytic Capacitors - Leaded,CX(??),C43346,LCSC,Capacitors
5,3,"C5,C40,C41",1uF,CL10A105KB8NNNC,C0603,1uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,SAMSUNG(??),C15849,LCSC,Capacitors
6,1,C6,100nF,FCC0402B104K160AT,C0402,100nF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,FOJAN(??),C5137468,LCSC,Capacitors
7,1,C7,1uF,CL05A105KO5NNNC,C0402,1uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,SAMSUNG(??),C29266,LCSC,Capacitors
8,1,C9,330nF,TCC0603X7R334K500CT,C0603,330nF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CCTC(??),C282682,LCSC,Capacitors
9,1,C10,47uF,RVT1H470M0607,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD,47uF,Aluminum Electrolytic Capacitors - SMD,ROQANG(??),C72523,LCSC,Capacitors
10,2,"C19,C39",10uF,CGA0805X5R106K250MT,C0805,10uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,HRE(??),C6119887,LCSC,Capacitors
11,3,"C20,C21,C22",22uF,CL21A226MAYNNNE,C0805,22uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,SAMSUNG(??),C602037,LCSC,Capacitors
12,1,C23,2.7nF,0603B272K500NT,C0603,2.7nF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,FH(??),C1609,LCSC,Capacitors
13,1,C24,56nF,CC0603KRX7R9BB563,C0603,56nF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,YAGEO(??),C282072,LCSC,Capacitors
14,4,"C25,C26,C27,C28",2.2uF,CL05A225KO5NQNC,C0402,2.2uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,SAMSUNG(??),C170151,LCSC,Capacitors
15,4,"C29,C31,C32,C36",10uF,CL21A106KOQNNNE,C0805,10uF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,SAMSUNG(??),C1713,LCSC,Capacitors
16,5,"C42,C43,C44,C45,C46",1.2nF,CC0603FRNPO9BN122,C0603,1.2nF,Multilayer Ceramic Capacitors MLCC - SMD/SMT,YAGEO(??),C1853470,LCSC,Capacitors
17,1,CN2,,XT60PW-M,CONN-TH_XT60PW-M,XT60PW-M,plug,AMASS(???),C98732,LCSC,Industrial control electrical
18,1,CN3,,WJ2EDGR-5.08-3P,CONN-TH_3P-P5.08_WJ2EDGR-5.08-3P,WJ2EDGR-5.08-3P,Pluggable System Terminal Block,KANGNEX(??????),C70914,LCSC,Connectors
19,1,CN5,,RH-5001,TEST-TH_BD2.54-P1.4_BLACK,RH-5001,Test Points / Test Rings,??,C5199801,LCSC,Connectors
20,1,D1,,SMBJ33CA,SMB_L4.5-W3.6-LS5.2-BI,SMBJ33CA,ESD and Surge Protection (TVS/ESD),Liown(?????),C2925445,LCSC,Circuit Protection
21,1,D2,,SS210,SMA_L4.3-W2.5-LS5.0-RD,SS210,Schottky Diodes,TDSEMIC(?????),C42441810,LCSC,Diodes
22,1,H1,,HX PZ2.54-2x6P WT,HDR-SMD_12P-P2.54-H-M-R2-C6_HX-PZ2.54-2X6P-WT,HX PZ2.54-2x6P WT,Pin Headers,hanxia(??),C46061688,LCSC,Connectors
23,1,L1,10uH,CMI201209X100KT,L0805,10uH,Inductors (SMD),FH(??),C99366,LCSC,"Inductors, Coils, Chokes"
24,1,P1,,WJ2EDGK-5.08-3P,HDR-TH_3P-P5.08-V-M,WJ2EDGK-5.08-3P,Pluggable System Terminal Block,KANGNEX(??????),C71371,LCSC,Connectors
25,7,"Q8,Q9,Q10,Q11,Q12,Q13,Q14",,SIRS4600DP-T1-RE3,PPAK-8_L6.0-W5.0-P1.27-LS6.2-BL,SIRS4600DP-T1-RE3,MOSFETs,VISHAY(??),C20346145,LCSC,Transistors/Thyristors
26,2,"R1,R57",10k?,0402WGF1002TCE,R0402,10k?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C25744,LCSC,Resistors
27,1,R5,1.5m?,HoLSX3920-5W-1.5mR-1%,R3920,1.5m?,Current Sense Resistors / Shunt Resistors,Milliohm(??),C19270880,LCSC,Resistors
28,1,R7,3.5k?,1206W4F3501T5E,R1206,3.5k?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C422532,LCSC,Resistors
29,1,R8,7.5k?,0603WAF7501T5E,R0603,7.5k?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C23234,LCSC,Resistors
30,1,R9,100k?,0402WGF1003TCE,R0402,100k?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C25741,LCSC,Resistors
31,1,R11,309k?,FRC0402F3093TS,R0402,309k?,Chip Resistor - Surface Mount,FOJAN(??),C5713270,LCSC,Resistors
32,1,R12,22.1k?,FRC0603F2212TS,R0603,22.1k?,Chip Resistor - Surface Mount,FOJAN(??),C2960862,LCSC,Resistors
33,1,R13,37.4k?,RC0402FR-0737K4L,R0402,37.4k?,Chip Resistor - Surface Mount,YAGEO(??),C185422,LCSC,Resistors
34,14,"R18,R21,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37",33?,0402WGF330JTCE,R0402,33?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C25105,LCSC,Resistors
35,2,"R19,R24",22?,0402WGF220JTCE,R0402,22?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C25092,LCSC,Resistors
36,3,"R20,R23,R25",10k?,RC0402FR-0710KL,R0402,10k?,Chip Resistor - Surface Mount,YAGEO(??),C60490,LCSC,Resistors
37,5,"R38,R40,R44,R45,R50",150k?,RE0402DRE07150KL,R0402,150k?,Chip Resistor - Surface Mount,YAGEO(??),C851891,LCSC,Resistors
38,7,"R42,R43,R46,R47,R52,R53,R54",10k?,0402WGD1002TCE,R0402,10k?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C407753,LCSC,Resistors
39,1,R55,68k?,AC0402DR-0768KL,R0402,68k?,Chip Resistor - Surface Mount,YAGEO(??),C226729,LCSC,Resistors
40,1,R56,13k?,FRC0603F1302TS,R0603,13k?,Chip Resistor - Surface Mount,FOJAN(??),C2906992,LCSC,Resistors
41,5,"R58,R59,R60,R61,R62",1k?,0402WGF1001TCE,R0402,1k?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C11702,LCSC,Resistors
42,2,"R63,R64",120?,0402WGF1200TCE,R0402,120?,Chip Resistor - Surface Mount,UNI-ROYAL(??),C25079,LCSC,Resistors
43,1,R65,5k?,RT0603BRE075KL,R0603,5k?,Chip Resistor - Surface Mount,YAGEO(??),C862232,LCSC,Resistors
44,2,"TP8,TP17",,RH-5008,TESTPOINT-TH_BD3.2-D1.6,RH-5008,Test Points / Test Rings,??,C5277087,LCSC,Connectors
45,2,"TP9,TP16",,RH-5119,TESTPOINT_TH_BD2.5-D1.2,RH-5119,Test Points / Test Rings,??,C5199809,LCSC,Connectors
46,3,"TP10,TP18,TP22",,RH-5121,TESTPOINT-TH_BD3.2-D1.6-1,RH-5121,Test Points / Test Rings,??,C7589090,LCSC,Connectors
47,3,"TP12,TP15,TP20",,RH-5002,TESTPOINT_TH_BD2.5-D1.2,RH-5002,Test Points / Test Rings,??,C5199802,LCSC,Connectors
